Datetime,女八九舍(含女九餐廳),女五舍,女一舍,女三舍,女二舍,鹿鳴雅舍
2026-01-17 19:00:00,37.09,8.36,22.83,17.97,55.18,
2026-01-17 20:00:00,44.85,8.58,19.64,17.92,27.52,
2026-01-17 21:00:00,45.75,9.32,20.95,30.36,26.33,
2026-01-17 22:00:00,47.02,10.58,24.58,22.0,28.11,
2026-01-17 23:00:00,52.92,14.58,21.15,21.22,32.9,
2026-01-18 00:00:00,,,,,,
2026-01-18 01:00:00,,,,,,
2026-01-18 02:00:00,,,,,,
2026-01-18 03:00:00,,,,,,
2026-01-18 04:00:00,,,,,,
2026-01-18 05:00:00,,,,,,
2026-01-18 06:00:00,,,,,,
2026-01-18 07:00:00,,,,,,
2026-01-18 08:00:00,,,,,,
2026-01-18 09:00:00,,,,,,
2026-01-18 10:00:00,,,,,,
2026-01-18 11:00:00,,,,,,
2026-01-18 12:00:00,,,,,,
2026-01-18 13:00:00,,,,,,
2026-01-18 14:00:00,,,,,,
